Date ,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
23-Jun-21,3329,3329,3256.4,3267.3,3261.4,97430,4808928708
22-Jun-21,3304,3327.05,3285,3304,3301.2,91864,5654751061
21-Jun-21,3265,3286,3251.7,3273,3273.1,77545,3697504601
18-Jun-21,3350.9,3358,3275,3303,3297.3,141335,11197761791
17-Jun-21,3265.5,3336.05,3260,3328,3317.75,131862,7492087862
16-Jun-21,3262.1,3294.7,3253,3270,3274.35,92225,5354077782
15-Jun-21,3298,3298,3251.55,3262,3262.75,96054,4273970423
14-Jun-21,3279,3308.7,3270.35,3277.15,3276.35,82241,6067799809
11-Jun-21,3211.55,3309,3211,3279,3273.8,139241,11289168561
10-Jun-21,3210,3224,3193,3216,3216.8,100093,6017589512
9-Jun-21,3202,3220,3186.2,3199.7,3200.25,75025,5478705691
8-Jun-21,3198,3231,3187.2,3199.35,3200.15,115327,8270159546
7-Jun-21,3145,3190.45,3133.6,3187,3183.2,102542,8082689476
4-Jun-21,3128,3156.85,3125,3138.5,3143.75,78503,5766071003
3-Jun-21,3154.55,3154.55,3122.65,3144.9,3141.25,91185,4020300713
2-Jun-21,3150.85,3159.45,3115,3135,3129.45,132990,7007134475
1-Jun-21,3168.6,3169.95,3132,3153.9,3153,91948,4336083045
31-May-21,3150,3170.35,3128.6,3163.4,3159.15,86026,5215439448
28-May-21,3189.5,3198,3135.65,3146.35,3143.6,98509,5575492889
27-May-21,3161.95,3217.75,3161.8,3198,3180,181046,19006345222
26-May-21,3120,3165,3103.8,3158,3158.5,98431,6047145461
25-May-21,3092,3128.25,3082.1,3115,3114,122270,5730395913
24-May-21,3081.5,3105,3072,3082.45,3081.5,79516,5104527042
21-May-21,3061,3088.2,3055.1,3080.5,3080.5,74555,5184715065
20-May-21,3067.1,3088.8,3052.1,3060.65,3060,110631,7140693825
19-May-21,3084,3118,3067.1,3084.9,3082,112427,6146847716
18-May-21,3100,3124,3078,3089,3088.8,65396,6499442923
17-May-21,3055,3075.2,3036,3072.75,3069.75,98199,8828642068
14-May-21,3098.5,3098.5,3040,3052,3051.5,126572,6237862561
12-May-21,3120,3120,3070.6,3085.5,3087.6,101860,6107329662
11-May-21,3125,3128.1,3091.15,3120,3122.6,93623,7515102667
10-May-21,3145.95,3164.2,3125,3147,3145.5,100229,6723356017
7-May-21,3133,3159.85,3111.8,3131,3132.9,94194,5999492210
6-May-21,3105.5,3134,3074,3115.9,3111.45,72680,5567213773
5-May-21,3070,3099.4,3052.4,3095.75,3095.7,115524,5979255989
4-May-21,3062.8,3090,3035,3052.9,3049.75,94786,6094167595
3-May-21,3024.9,3055,3004,3035.85,3037,109575,4692605166
30-Apr-21,3099,3132.05,3020,3040,3035.65,157829,9411056605
29-Apr-21,3145.6,3157.35,3105.5,3114.45,3115.25,98275,5076305908
28-Apr-21,3149.95,3151,3112,3123,3124.1,76017,5123175757
27-Apr-21,3106,3136.1,3103,3132.75,3132,97077,4594035861
26-Apr-21,3102.05,3153,3088.05,3100.05,3100.8,87012,7775464961
23-Apr-21,3105,3119,3091.05,3110.2,3109.5,93127,5016930339
22-Apr-21,3148,3148,3105.25,3121.05,3118.8,172941,6210380335
20-Apr-21,3225,3225.35,3126.35,3140,3144.55,162928,9897843132
19-Apr-21,3169,3189,3135.1,3159.15,3161.8,126444,8477031168
16-Apr-21,3229,3247,3182.6,3186.1,3195.15,123918,10348287513
15-Apr-21,3160.3,3237.25,3087.45,3227,3218.95,219212,19207655908
13-Apr-21,3214,3214,3073.05,3120,3104.05,436638,26968883551
12-Apr-21,3322.25,3338.1,3213.2,3250,3246.55,202522,12419018301
9-Apr-21,3354,3354.35,3308,3325,3322.25,114832,9686422201
8-Apr-21,3270,3335,3266.05,3315,3317.35,142722,8543956094
7-Apr-21,3259,3277.55,3234.8,3271,3271.4,122792,8116666258
6-Apr-21,3275,3275,3230,3266.5,3264.7,109190,7457570557
5-Apr-21,3171,3263,3151,3241,3238.9,229667,17053050940
1-Apr-21,3191.1,3215,3145,3167,3165,154796,13619743475
31-Mar-21,3155,3205,3132,3175.3,3177.85,156653,11218135153
30-Mar-21,3083,3188.45,3060.9,3172,3158.55,191356,14738334444
26-Mar-21,3090.65,3118,3043.05,3062,3066.8,201134,11384084592
25-Mar-21,3112.2,3130.85,3050,3074.5,3064.85,153808,9829064108
24-Mar-21,3111.2,3152.3,3111.15,3123.6,3121.1,110682,6909631859
23-Mar-21,3140,3169,3122.85,3142,3142.6,167131,10408299727
22-Mar-21,3048.7,3139.45,3018.65,3128,3129.65,137406,8707678923
19-Mar-21,3030,3099,3005,3054.8,3050.2,153489,17613985030
18-Mar-21,3125.95,3146.45,2987.05,3042,3036.5,164183,11274828058
17-Mar-21,3105,3155,3085.3,3107.4,3112.95,183445,12014711142
16-Mar-21,3060,3141,3060,3106,3110.05,190871,15242817602
15-Mar-21,3041,3099,3041,3062.05,3066.15,138642,9507410762
